,DBA,BORO,Latitude,Longitude,Census Tract
91860,PIZZA PUB,Queens,40.648312826068,-73.788281497594,71600.0
92250,Tony's Pizza,Brooklyn,40.670613821183,-73.93179596839799,35100.0
92556,BROOKLYN PIZZA MASTERS,Manhattan,40.75868844414,-73.962654571741,10800.0
93223,Archie's Delivery,Brooklyn,40.719167876256,-73.94532833109601,47700.0
93622,SOHO 99 CENTS CHEESE PIZZA,Manhattan,40.73875108596,-74.000194862487,7700.0
93927,PIZZA GRILL CAFE,Manhattan,40.715395689333,-73.993528512347,1600.0
94947,IL MIGLIO PIZZA,Queens,40.761052968135,-73.93983944344599,8500.0
95011,FAMILY PIZZA,Brooklyn,40.655791577516,-73.95991204077599,79802.0
96029,TREMONT PIZZA,Bronx,40.841699903199,-73.883638133962,35900.0
96286,THREE BOYS FROM ITALY PIZZERIA,Bronx,40.871420898829996,-73.866873715167,33800.0
96351,LIONS & TIGERS & SQUARES DETROIT PIZZA,Manhattan,40.744844431297004,-73.997455728397,9100.0
96647,LA MARGARITA PIZZERIA,Manhattan,40.721532503047,-73.98760418782899,3001.0
97456,PIZZA CITY,Manhattan,40.780247788322,-73.946899247017,15200.0
97483,RACO CALIENDO PIZZA,Brooklyn,40.679885044808,-73.940515045638,27100.0
98345,PIZZERIA SIRENETTA,Manhattan,40.788669859561,-73.97430212673899,17500.0
98756,CROPSEY PIZZA AND PASTA,Brooklyn,40.586198487515,-73.988162247681,31400.0
98931,JAY ST FRESH 99 CENTS PIZZA,Brooklyn,40.691894443871,-73.987332055681,1100.0
99613,THE SQUARE ON ANNADALE,Staten Island,40.541549340243,-74.177353767108,17005.0
99649,PINO'S,Brooklyn,40.643888405293005,-74.011563356969,10000.0
99667,99 CENTS FAMOUS PIZZA,Manhattan,40.744580231652996,-73.98705133304401,7400.0
99690,PIZZA & PASTA CITY,Queens,40.732061741381,-73.849166301623,74300.0
100137,BRONX GOODFELLAS,Bronx,40.863596229165,-73.864998601074,33000.0
100320,LJ PIZZA,Bronx,40.868947965381,-73.896241463588,40304.0
100598,MARTINIELLO'S PIZZERIA,Queens,40.748968788554,-73.871093007642,46500.0
101005,UPSIDE PIZZA,Manhattan,40.754895354298,-73.990185925753,11300.0
102853,LITTLE CAESARS PIZZA,Brooklyn,40.649485451686,-74.005765948638,8200.0
103866,BROOK AVENUE DELI & PIZZA,Bronx,40.810022143995,-73.917773545824,4100.0
104752,FRANCESCO PIZZERIA,Manhattan,40.775090040816,-73.980495855488,15300.0
105198,PG PIZZA,Bronx,40.826295924209994,-73.918042424676,17300.0
106070,MOSES PIZZA II,Bronx,40.840472292869,-73.841705794332,9600.0
107604,ROSE PIZZA,Manhattan,40.751091318302,-73.992925898182,10100.0
107836,GINO'S PIZZA EXPRESS,Queens,40.722765304650004,-73.874293408689,66300.0
107849,VILLA MARIA PIZZERIA,Bronx,40.861705006305,-73.84328916219,31200.0
108393,BENNY'S FAMOUS PIZZA,Brooklyn,40.637122660762,-73.989943893884,22200.0
108670,TONY'S PIZZA SPOT,Brooklyn,40.690356656895,-73.960215713587,19300.0
109227,BOCCONCINI,Queens,40.771598449004,-73.734707366304,147900.0
109286,SAUCE AND SODA,Brooklyn,40.705924485022,-73.92184465777,44700.0
110165,LEFRAK PIZZA,Queens,40.737322214595,-73.863512536127,44302.0
110620,MACOLETTA BRICK OVEN PIZZERIA,Queens,40.773351630472,-73.91689472460399,11500.0
111085,DOMINOS PIZZA,Manhattan,40.719799971876995,-73.983048195125,2201.0
112378,ANTHONY'S PIZZA,Bronx,40.845352569711,-73.865505637273,23200.0
113634,GIANNI'S,Queens,40.755484246595,-73.886081341108,32700.0
114863,MAMA'S PIZZERIA,Manhattan,40.800549608118,-73.96561444843199,19300.0
