title,director,country,spine,url,img,year
Dollar,Gustaf Molander,Sweden,,https://www.criterion.com/films/28868-dollar,https://s3.amazonaws.com/criterion-production/films/a7127b93634281663783609475df1184/ZEZOEVz3wHw6BdpH18x6ilo8HQXIlj_thumbnail.jpg,1970
Donkey Skin,Jacques Demy,France,718,https://www.criterion.com/films/28605-donkey-skin,https://s3.amazonaws.com/criterion-production/films/0d0e677a1a41ed55b91945255155099e/BC17OwaidH7P63kztUaPqQojUAAIf9_thumbnail.jpg,1967
Dont Look Back,D. A. Pennebaker,United States,786,https://www.criterion.com/films/28655-dont-look-back,https://s3.amazonaws.com/criterion-production/films/520ccec1451bbeade3175c32ff46b736/SgNPHBjYshUm7a8TzlMLbbK0525KTN_thumbnail.jpg,1973
Don’t Look Now,Nicolas Roeg,United Kingdom,745,https://www.criterion.com/films/27928-don-t-look-now,https://s3.amazonaws.com/criterion-production/films/cc8bd4832c5dfed21df33fab07991c26/rZ9q2C3qtZondOXlqMmIZ2DqND4Cnm_thumbnail.jpg,1989
Do the Right Thing,Spike Lee,United States,97,https://www.criterion.com/films/286-do-the-right-thing,https://s3.amazonaws.com/criterion-production/films/7cabb0ef9ddb181882c3ea186935cafc/c2bhsytxhguD846PNcIr9m5mvMwcdi_thumbnail.jpg,1991
The Double Life of Véronique,Krzysztof Kieślowski,France,359,https://www.criterion.com/films/214-the-double-life-of-v-ronique,https://s3.amazonaws.com/criterion-production/films/3696c26f4ed9c4cd28f9451887257ca3/5ccWWR3eHcxxApgkyHF3AFiqNr43SG_thumbnail.jpg,1969
Double Suicide,Masahiro Shinoda,Japan,104,https://www.criterion.com/films/640-double-suicide,https://s3.amazonaws.com/criterion-production/films/0cfec1498639e5e592f6be9b58e86f04/foA3fkZR1nsGvXT3pyKNNN0b05Ht5Q_thumbnail.jpg,1943
Douce,Claude Autant-Lara,France,,https://www.criterion.com/films/27977-douce,https://s3.amazonaws.com/criterion-production/films/54383fec44d7e8782575c44af765b4b3/zvkyPLbQ24L9VjH6jP1r4Q0jCYbVMY_thumbnail.jpg,1962
Le doulos,Jean-Pierre Melville,France,447,https://www.criterion.com/films/759-le-doulos,https://s3.amazonaws.com/criterion-production/films/6813575ce7945498b15effc2cef1777a/Kcg04nsDzd1F6UYUmtIJ4pn5qRcDCz_thumbnail.jpg,1986
Down by Law,Jim Jarmusch,United States,166,https://www.criterion.com/films/719-down-by-law,https://s3.amazonaws.com/criterion-production/films/971acca4acd64f837918ecb57ceae1b9/SE268veW5ULrxyQYNfzZrmscGa4E6I_thumbnail.jpg,1969
Downhill Racer,Michael Ritchie,United States,494,https://www.criterion.com/films/20391-downhill-racer,https://s3.amazonaws.com/criterion-production/films/3859970acfa25c753d5729fa7a826324/cHMKMj7llu2JvYC0NhcGqio2GAprU7_thumbnail.jpg,1933
Dragnet Girl,Yasujiro Ozu,Japan,,https://www.criterion.com/films/28224-dragnet-girl,https://s3.amazonaws.com/criterion-production/films/de97512cb2042e20599db342636e2643/cOtClASRLalxeMq4NSOTUZgAkuDlJ4_thumbnail.jpg,1967
Dragon Inn,King Hu,Taiwan,937,https://www.criterion.com/films/28790-dragon-inn,https://s3.amazonaws.com/criterion-production/films/ccb827146c114a70eb9b1f37d8ade156/tBlNZHb7Ql0lqLZJxG3JbJaFVnQCrd_thumbnail.jpg,1955
Dreams,Ingmar Bergman,Sweden,,https://www.criterion.com/films/28206-dreams,https://s3.amazonaws.com/criterion-production/films/26c375fb0b8fb3b2edf4d3f315b4aed3/cElw441lLpwIeVvdzFcXaEnMTfAtUM_thumbnail.jpg,1980
Dressed to Kill,Brian De Palma,United States,770,https://www.criterion.com/films/28686-dressed-to-kill,https://s3.amazonaws.com/criterion-production/films/119ede93fcbb25f2a775ccf8cbe1d765/MZJJifQQcL1ioSEvZzaO0kYWvcpAhH_thumbnail.jpg,1970
"Drive, He Said",Jack Nicholson,United States,547,https://www.criterion.com/films/27530-drive-he-said,https://s3.amazonaws.com/criterion-production/films/5dab1d4b720b8dba2951246a6e579875/SfyfBq0uCWQjg71QHpsDa6kWq59vXR_thumbnail.jpg,1964
"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",Stanley Kubrick,United States,821,https://www.criterion.com/films/28822-dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,https://s3.amazonaws.com/criterion-production/films/0a9d8cafec1031c98436007b77553d6f/8RnJTFRJr7Ho5oNBlduI3C9erCpY1t_thumbnail.jpg,1938
The Drum,Zoltán Korda,United Kingdom,,https://www.criterion.com/films/27599-the-drum,https://s3.amazonaws.com/criterion-production/films/d553accbf51cef7cc19d618828b7ed0d/jYUeo8MgP1pqO3q1edCBWDFTmWkIOV_thumbnail.jpg,1948
Drunken Angel,Akira Kurosawa,Japan,413,https://www.criterion.com/films/845-drunken-angel,https://s3.amazonaws.com/criterion-production/films/3748c742c2f41068012a9e70eef24beb/Z5VutaTNkaHewyJm6NXp4d82n2SHC1_thumbnail.jpg,1964
Dry Summer,Metin Erksan,Turkey,688,https://www.criterion.com/films/28410-dry-summer,https://s3.amazonaws.com/criterion-production/films/49e3fce60e807242669361b7f18cfaf4/wmTcBChKCL1gZNBagJAHXx22sGKgKw_thumbnail.jpg,1989
A Dry White Season,Euzhan Palcy,United States,953,https://www.criterion.com/films/29148-a-dry-white-season,https://s3.amazonaws.com/criterion-production/films/d3fa0bd2e5949b9e3c861222fb594d95/ASnRN4Kj6AdEv8RJTDrHKhIve2ZFQY_thumbnail.jpg,2003
Dying at Grace,Allan King,Canada,,https://www.criterion.com/films/27517-dying-at-grace,https://s3.amazonaws.com/criterion-production/films/cadaae71d14b8bac75182bc6972d7c8e/7m0pZvbTyGopaxbshIbkCfqAzjJJSe_thumbnail.jpg,1956
Early Spring,Yasujiro Ozu,Japan,,https://www.criterion.com/films/770-early-spring,https://s3.amazonaws.com/criterion-production/films/1f69d8b923beb19f1a7ffa879063863c/An8ui6g0juKCa5KuqA8qwtLrAKtOJK_thumbnail.jpg,1951
Early Summer,Yasujiro Ozu,Japan,240,https://www.criterion.com/films/875-early-summer,https://s3.amazonaws.com/criterion-production/films/0cbd8206128eb5051258b6505fdc6f6c/7NJvtBPD2HpxCAqOqMfHzaGVo0dIwL_thumbnail.jpg,1953
The Earrings of Madame de . . .,Max Ophuls,France,445,https://www.criterion.com/films/571-the-earrings-of-madame-de,https://s3.amazonaws.com/criterion-production/films/a536a3fb3af463edd2e64152b9661f5c/vwUO7GHWr8ltPBhvvDbO51GIRnqIDL_thumbnail.jpg,1969
Easy Rider,Dennis Hopper,United States,545,https://www.criterion.com/films/27528-easy-rider,https://s3.amazonaws.com/criterion-production/films/14e0f640159eab2ffad751c2576b03ad/wVg4QTiXtwJdDc0Bj69D5j8CrAhn8C_thumbnail.jpg,1982
Eating Raoul,Paul Bartel,United States,625,https://www.criterion.com/films/27767-eating-raoul,https://s3.amazonaws.com/criterion-production/films/28d6495a960ffeca7c74c5a56d6e36e2/4FZJ4FZE0H7nPOEDoBjes4hUsAkzG1_thumbnail.jpg,
